dates,bjt6,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91,bjt92
1985-09-01,,305.154112176311,314.421436794695,311.389300187734,303.976707063591,300.495130483808,307.572226840783,300.159633713383,287.91714408994,280.055110988263,,,,,,,,261.526794584165,258.494657976297,256.361401320896,252.879824742059,259.507481129446,257.374224470035,245.581174815192,251.309951258048,253.107711146854,250.075574544573,247.942317882952,249.740077770634,246.258501195252,243.226364587444,231.433314938158,242.441427847677,249.518524207062,250.866844123339,262.773836978138,265.021036840622,261.988900232859,251.9366388748,237.503920985205,,,233.686847639193,235.484607529586,237.282367423489,238.630687340257,236.49743067721,238.295190567426,240.092950458637,237.060813853867,239.308013717557,235.826437138128,233.693180474465,225.381707404846,218.867994219912,,,,206.290007825105,217.747560707272,215.614304049991,214.772395706028,214.379927332615,,,225.05254347418,229.04053162605,247.967649240984,249.76540912914,241.886854540691,238.577418483171,244.65449330467,254.10400222808,254.054780064469,249.311364436186,254.054782214521,258.798200301603,258.798201222024,263.541619000976,258.798204291184,258.798205213233,258.79820674875,263.541624533199,268.285042314829,277.771876337009,282.515294424123,282.515295345939
1985-09-17,,319.194361691641,328.461686310042,316.668636656168,312.737620110554,314.984819971623,311.952683364248,304.540090236888,297.127497109327,285.334447456669,279.213202646664,,,268.376004538602,270.173764426395,271.971524321038,274.218724180976,271.186587576065,270.794119202382,269.952210863699,272.199410725858,273.997170617277,275.794930508841,277.592690396748,274.560553792777,267.14796066219,264.115824059931,256.70323092991,254.56997426657,255.91829418713,257.71605407527,259.513813968818,261.761013831436,266.198441956615,270.186430107113,277.263526465924,273.781949887593,276.029149748187,263.786660128416,256.374066996483,248.961473866473,245.929337264868,242.447760686232,240.314504025533,246.942160415376,243.460583836192,240.428447228142,238.295190567426,242.283178720358,242.340150322276,243.688470241033,250.765566598498,252.563326485763,249.081749912078,246.049613305658,238.637020174929,240.884220043734,235.661855172765,230.439490304849,232.686690167525,234.484450061288,231.002873483104,228.869616820458,225.837480219367,227.635240106403,229.432999997657,240.44111290725,247.518209268503,258.526322176045,260.368446494582,262.287472453436,268.36895454446,270.65458563114,273.028445657144,273.028446887448,273.028448421145,273.028449649584,277.771867121645,273.028452411237,275.400161761491,277.771871419862,277.771872955386,277.771874188098,280.14358354046,282.515292888654,282.515294117167,282.515295652962
1986-01-23,,369.23411494033,379.792787875488,367.999738221592,365.417041593414,371.595258005505,364.182664874652,356.320631774863,354.187375115679,355.985135005899,352.054118457573,339.811628830922,328.018579177403,329.366899095888,317.124409468402,305.331359820142,314.598684437767,323.866009058993,320.384432478581,327.461528842579,333.639745255641,331.506488596113,332.854808515187,334.652568403103,336.450328295074,334.31707163294,335.665391554084,332.633254947546,330.499998284206,327.018421708827,323.98628510102,321.853028443639,325.841016595456,325.897988197151,327.24630811346,324.663611480397,317.251018351025,314.218881743264,320.397098162299,322.194858049693,312.592036657989,297.709878802745,295.127182169043,301.305398582814,303.552598449237,305.799798310909,311.978014722336,313.775774612563,310.743638007818,308.610381348031,300.748348247375,306.926564659811,316.193889277337,320.631317406247,317.599180799827,315.016484165097,316.814244061371,318.162563975588,310.300530873399,303.786817689225,300.305241114608,302.552440977278,304.799640838091,316.257193724831,312.775617143411,319.852713503109,316.820576897305,328.27812978208,334.905786166171,336.700924152302,350.361086146845,353.494193671118,351.317061223272,353.666526421162,363.153360447777,353.666528571228,348.923113861956,344.179698537687,344.179699765025,356.038242218573,372.640201531936,,434.304617936771,415.330953574058,375.011914571365,365.525083003543,356.038251129068
1986-03-28,,319.194361691641,332.842142833505,329.81000622653,327.676749570824,329.474509459438,326.442372852072,316.390111490506,310.718306652153,294.095360503616,279.213202646664,,,,,,,257.146338060737,258.494657976297,256.361401320896,258.159161210529,259.507481129446,257.374224470035,249.961631338618,251.309951258048,248.727254623412,245.695118021091,247.942317882952,249.740077770634,246.258501195252,248.505701055864,245.473564453488,252.550660812024,258.728877226483,260.526637115226,262.773836978138,274.231389860045,271.648693224759,263.786660128416,251.544170500533,238.852240902077,240.650000796388,242.447760686232,244.694960548971,246.942160415376,250.930148566317,254.918136715984,248.404423531813,244.473406982078,246.271166873278,244.137910213496,241.105773606598,247.283990017382,249.081749912078,246.049613305658,243.916356643417,240.884220043734,243.131419902921,254.588972784594,246.726939682887,248.075259604206,236.282209951529,237.630529867334,235.497273211254,232.015696629828,233.813456521135,240.44111290725,242.688312772561,244.486072660703,251.127650517636,262.287472453436,268.36895454446,263.552347537253,263.541612860806,263.541614398002,268.285031869489,273.028449956526,273.028451183899,268.285035552622,268.285037087506,268.285038623571,268.285039852068,268.285041084832,280.14358354046,287.258709747265,277.771878179435,282.515295652962
1986-05-31,364.796686815366,374.064011436279,366.651418305099,358.789385202194,342.166439058637,339.134302451315,331.721709320489,321.220007986438,315.997643120608,305.945381757232,300.27357691967,292.860983788913,289.828847182341,282.416254053937,284.66345391421,286.910653781287,275.117604126011,268.996359314351,268.603890940647,265.571754340273,267.818954202429,269.616714093822,275.794930508841,272.762793900797,265.350200773385,267.14796066219,269.395160528323,264.172795660048,263.330887313546,270.407983674947,272.205743563095,269.173606960716,270.971366850848,277.599023237779,279.846223099,277.263526465924,269.850933336559,266.818796728809,259.406203604936,256.374066996483,248.961473866473,250.30979378829,247.727097154571,244.694960548971,246.942160415376,248.739920304571,245.258343724089,243.125087063371,244.473406982078,242.340150322276,243.688470241033,241.105773606598,242.903533493891,249.081749912078,246.948493250609,248.296813166834,250.094573063167,247.961316398864,249.309636316129,251.107396206377,248.524699576651,249.873019494392,242.460426363282,239.877729734711,242.124929594255,243.473249513012,250.550345871529,264.198127018061,268.186115167933,279.652075062525,286.574883096084,287.305263345351,287.2051690342,292.002111556765,287.258696849265,289.630406198433,289.630407426856,282.515283980235,282.515285514529,282.515286742447,287.258704216153,282.515288892981,273.028457329563,273.028458559484,273.028460092328,268.285044769192,273.028462856671
1986-06-16,369.626583311304,374.064011436279,366.651418305099,358.789385202194,342.166439058637,339.134302451315,336.102165843955,328.68957271655,321.276979589064,315.605174749111,304.654033443114,298.140320257307,289.828847182341,282.416254053937,280.282997390729,281.631317312909,279.498060649443,268.996359314351,268.603890940647,269.952210863699,267.818954202429,264.337377625389,266.584577489438,268.831777349895,270.629537241831,267.14796066219,273.775617051806,271.642360390185,268.160783809482,269.958543702484,272.205743563095,269.173606960716,270.971366850848,273.218566714295,275.465766575543,271.984189997587,273.781949887593,271.648693224759,268.616556624354,261.203963492433,252.892490417413,250.759233760819,252.107553678091,249.075417072409,246.942160415376,243.460583836192,245.258343724089,242.226207118378,234.813613990184,232.680357330396,234.028677249155,241.105773606598,237.624197025511,235.490940369205,236.839260286251,238.637020174929,240.884220043734,243.131419902921,239.649843324231,233.13613013997,234.484450061288,231.002873483104,237.630529867334,230.217936742825,232.015696629828,241.283021251273,245.271009403181,247.068769296023,254.145865652592,260.368446494582,262.287472453436,268.36895454446,268.244561967825,268.285029105502,268.285030642725,273.028448421145,277.771866201225,282.515283980235,282.515285514529,277.771869883829,277.771871419862,277.771872648354,282.515290739731,282.515291662788,282.515292888654,282.515294117167,292.002128449253
1986-07-18,315.655813511621,331.044382945255,332.842142833505,329.81000622653,322.39741310243,324.195172991041,322.061916328607,321.220007986438,320.378099644048,318.244842983314,306.45179333312,300.330548519048,295.108183650775,297.355383514284,293.873806933628,300.95090329665,293.538310164772,290.506173559865,291.854493475409,284.44190035155,281.859203717757,283.656963609164,290.284619996669,296.912276380549,294.329579749061,296.12733963787,288.714746512073,290.063066429019,287.030929820779,279.618336694362,281.4160965825,283.663296448563,280.631159842728,292.08871272559,289.506016090887,295.684232504824,292.65209589889,285.239502767564,287.037262663191,279.624669531188,271.762636428696,259.520146807664,257.386890146429,259.184650036814,260.982409930719,262.33072984749,260.197473184439,261.995233074655,258.513656497413,256.380399837628,257.728719756387,255.146023121927,257.393222981698,268.401335895843,265.818639261899,258.406046131274,259.754366055034,266.831462410152,268.629222299924,270.42698219012,267.394845587948,262.17248072049,256.950115851125,259.197315718484,255.715739137055,257.962939000828,259.760698890973,266.837795252272,268.186115167933,275.232186227566,286.574883096084,287.128962390648,292.025216360831,292.002111863711,292.002112787076,287.258698076113,282.515282445923,282.515283980235,282.515285514529,287.258702987122,287.258704216153,282.515288892981,273.028457329563,277.771875418132,280.143584766314,282.515294117167,282.515295652962
1986-09-20,,305.154112176311,314.421436794695,310.939860215244,308.806603559529,305.774466952206,302.742330344841,299.710193740956,301.507953632766,294.095360503616,286.682767376834,281.010962535297,,278.035797530496,279.384117445814,271.971524321038,268.939387712509,261.526794584165,258.494657976297,251.082064852422,252.879824742059,255.12702460599,249.90465973988,244.682294870144,241.650158266156,248.727254623412,245.695118021091,247.942317882952,249.740077770634,246.258501195252,248.505701055864,250.752900921955,243.340307792612,244.688627711125,251.765724068313,253.563483958688,255.361243848749,251.430227295914,244.916514117121,236.60504104016,,,228.856951143264,230.205271061128,228.072014404089,225.039877797337,221.55830121686,223.356061107093,234.813613990184,237.060813853867,231.838448987417,230.996540642178,238.073636997956,235.490940369205,232.458803762785,229.42666715556,233.864095286051,243.131419902921,244.929179792696,246.726939682887,239.314346557224,240.662666474989,228.869616820458,225.837480219367,222.805343610452,224.603103501719,236.060656383737,233.028519780677,240.105616137251,251.528668824663,252.976657867045,263.414501150858,270.65458563114,268.285029719394,263.541614398002,258.798198766177,263.541616853244,254.054785284278,254.054786204652,258.798204291184,258.798205213233,254.054790504123,249.311375185202,244.567959863566,,,
1986-10-22,,336.32371941372,332.842142833505,321.049093179622,318.016956578948,310.604363448144,311.952683364248,300.159633713383,297.127497109327,285.334447456669,281.403430908387,279.270174246012,280.618494162943,282.416254053937,284.66345391421,279.441089051163,274.218724180976,268.996359314351,268.603890940647,265.571754340273,260.349389472244,255.12702460599,249.90465973988,244.682294870144,241.650158266156,243.447918154961,245.695118021091,247.942317882952,249.740077770634,251.537837663654,248.505701055864,250.752900921955,247.271324343617,254.348420702999,256.146180591769,258.393380454617,259.741700372234,257.608443709432,251.9366388748,241.884377508633,244.131577370526,236.718984245495,233.686847639193,235.484607529586,237.282367423489,234.250230816765,231.218094208755,228.185957603038,226.052700943303,223.020564338516,,222.23562759532,226.223615744339,216.171354385439,,,217.1841775365,223.81183391915,230.439490304849,232.686690167525,238.864906584779,236.282209951529,224.48916029702,220.558143750939,222.805343610452,224.603103501719,231.680199860224,242.688312772561,249.315969156648,265.590371943594,267.375897250919,270.669880286558,277.820740173057,268.285029719394,268.285030642725,268.285031869489,263.541616853244,254.054785284278,254.054786204652,258.798204291184,258.798205213233,254.054790504123,254.054791736835,254.05479296687,258.798210744356,,
1986-11-23,,288.474194426748,304.761643802811,301.729507195846,303.976707063591,300.495130483808,298.361873821376,290.499840721518,283.087247593993,275.67465446479,277.472414357443,,,268.376004538602,277.643329156531,286.910653781287,279.498060649443,268.996359314351,263.324554472237,260.292417871799,258.159161210529,262.147149363662,266.584577489438,268.831777349895,264.900760800886,258.387047615306,254.905471040511,256.70323092991,254.56997426657,261.197630655532,253.785037524285,250.752900921955,243.340307792612,244.688627711125,246.486387599882,243.90369096683,245.701450856875,247.049770772487,239.637177648725,236.60504104016,,,224.476494619744,225.82481453769,222.792677935659,217.570313067212,216.728404720913,223.80550107959,229.983717494237,222.571124366047,229.648220725679,226.616084118749,214.373594490722,,331.639430315175,343.546423168276,373.424682095272,363.821860700803,358.599495832888,381.457629996162,399.935307639478,385.502589752586,375.450328387268,372.418191786208,365.005598653816,364.613130283373,387.920704419012,413.418506819119,441.555977448705,460.039418308803,485.566129444591,510.291719381254,514.924203174791,533.916352621035,541.031478832248,,,,505.455860372219,,443.791448578702,429.561200459249,415.330952037141,410.587536715409,408.215830125919,420.074372580056,
1987-02-27,,383.723804428177,385.521564316388,382.039987736934,379.007851136315,371.145818033046,354.522871882769,347.110278755426,344.078142151277,341.944885490546,338.013868942236,317.010466268602,300.38752011921,294.715715280057,284.66345391421,286.910653781287,293.088870192255,299.716526579243,306.793622935699,308.141942858778,309.939702748414,307.806446088883,304.774309484496,306.572069372449,312.750285787844,310.617029125711,309.77512078511,304.552755916834,306.799955776973,308.597715669996,314.775932081615,311.743795479223,304.33120234996,296.918609221527,293.886472614343,295.234792532416,279.061286355982,271.648693224759,268.616556624354,261.203963492433,248.961473866473,250.30979378829,257.386890146429,253.455873595848,246.942160415376,250.930148566317,260.197473184439,252.784880055261,258.963096469919,265.590752857039,272.218409244204,266.996044375541,268.79380426287,272.781792419309,270.64853575784,267.616399150643,268.964719074467,266.382022437668,277.839575319306,280.086775181992,281.884535075755,283.232854993508,275.820261862406,285.087586487443,289.075574636184,296.152670995877,297.950430886,299.748190778907,301.995390639544,312.596388442373,309.996258730157,306.417873100945,310.985823427206,315.719194008028,306.232362441981,306.232363668702,306.232364897186,327.577740760414,322.834325436101,322.834326664017,325.206036322388,320.462620999221,310.975789435725,301.488957869395,301.488959095236,310.97579342703,306.232378104225
1987-03-15,362.157018581167,374.064011436279,359.181853574947,349.579032182796,337.785982535156,324.6446129635,311.952683364248,309.369986732821,310.718306652153,303.305713523029,295.893120396225,288.480527265432,289.828847182341,287.69559052239,284.66345391421,281.631317312909,275.117604126011,268.996359314351,263.324554472237,260.292417871799,252.430384769538,245.916671586592,249.90465973988,249.961631338618,246.929494734602,248.727254623412,250.075574544573,247.942317882952,244.460741302249,246.258501195252,248.505701055864,238.453439695823,238.060971324204,,,225.033544955523,,233.458961229682,,215.544666767169,,,,,,,216.728404720913,218.975604583645,226.052700943303,223.020564338516,,222.23562759532,223.583947510148,221.450690853857,218.418554247437,224.596770659607,222.014074032434,218.532497450723,226.059033781417,232.686690167525,238.864906584779,236.282209951529,242.460426363282,244.258186258169,241.226049649203,241.283021251273,250.550345871529,247.518209268503,249.315969156648,265.590371943594,262.287472453436,258.812649666663,258.732300210622,256.426488186817,256.426489417094,254.054782214521,254.054783749962,254.05478497733,249.311369959974,254.054787432566,249.311372109919,239.824540235082,,,,,
1987-09-23,386.306501060859,392.484717475042,385.072124343909,377.65953121348,379.906731081227,379.064822735643,372.943577921584,361.150528270796,358.118391666611,346.325342014019,347.673661934128,339.811628830922,328.018579177403,329.816339068394,326.784202460279,319.371609335505,316.339472726965,308.92687959862,301.514286467289,294.101693343451,295.450013260564,293.316756601052,290.284619996669,285.062255126935,278.941010316223,262.767504138748,269.395160528323,271.642360390185,273.440120277867,266.027527151471,262.99539054369,255.582797417904,261.761013831436,268.83811019081,275.465766575543,281.643982989445,279.061286355982,267.268236701332,259.406203604936,256.374066996483,248.961473866473,245.929337264868,247.727097154571,249.524857044919,251.322616938833,252.67093685562,245.258343724089,243.125087063371,242.283178720358,241.441270377338,248.518366736972,250.316126625977,252.563326485763,254.361086380495,251.328949774075,246.106584905125,239.985340098864,235.661855172765,244.929179792696,237.51658666346,238.864906584779,245.942002943414,242.460426363282,226.286920191853,239.485261360017,257.962939000828,268.971051910416,278.238376533407,287.505701151711,289.293889346497,291.085951221183,292.083415784249,296.717430791402,292.002111556765,282.515279990718,282.51528121744,277.771866201225,277.771867735541,292.002118310853,,,372.640202453405,,375.011913345512,356.038248671748,320.462626223361,301.488961245545
