,stationarity,autocorr_min,lag_min,entropy,linear_trend_slopes,linear_trend_intercepts,linear_trend_rvalues,linear_trend_pvalues,linear_trend_stderr,linear_trend_intercept_stderr
bjt21,0.0,-0.36370671717798003,713.0,0.24785656198274175,3.6889078632919077,297.7460010979755,0.9139665698457221,0.0,0.052159069253115455,1.1619540977699485
bjt22,0.0,-0.3637749200557896,713.0,0.283220548990902,3.648925025701499,295.0240965281707,0.9159958183074621,0.0,0.05089565674451904,1.1338088995798996
bjt23,0.0,-0.3716533287586767,716.0,0.3209329859808576,3.67411582398664,291.2402479932558,0.9317806743895551,0.0,0.04558619104945697,1.0155292694084344
bjt24,0.0,-0.3813335756479843,606.0,0.357521597351637,3.7515163826264493,287.1332681018821,0.9317606425012663,0.0,0.04655412295276415,1.0370920092639364
bjt25,0.0,-0.3871525172084161,600.0,0.32856304657352764,3.8807327533088984,282.8948927217921,0.930978784028654,0.0,0.048463586301085174,1.0796293626694635
bjt26,0.0,-0.3937655328793278,600.0,0.3127699378421458,4.011099708644647,278.89719827107444,0.9354528142470049,0.0,0.04826508377846384,1.0752072971901463
bjt27,0.0,-0.39678744899324614,597.0,0.31636568975739754,4.131099318829396,275.09679758585787,0.9372994460377814,0.0,0.04891959856465517,1.0897880047977808
bjt28,0.0,-0.4017280346586879,593.0,0.28607134572631543,4.198930828319961,272.28587404754705,0.9391012550879116,0.0,0.048931919958437715,1.0900624900253908
bjt29,0.0,-0.4008161558163462,597.0,0.27706584848521265,4.1987515628472565,270.8564449590276,0.9396477668266248,0.0,0.04868831477429406,1.0846356669243091
bjt30,0.0,-0.38667282039090656,638.0,0.2562715638068742,4.053079329680787,273.0689358465415,0.9276694970282325,0.0,0.05195536499703378,1.1574161526249027
bjt31,0.0,-0.3791884006809065,593.0,0.25245063251145594,3.896883237334944,275.0461596990866,0.9160490657246985,0.0,0.05433457564284278,1.210418125224146
bjt32,0.0,-0.3816172645003771,590.0,0.24258569238418215,3.762966366593016,276.1947439650809,0.9090623176159752,0.0,0.05492628383918891,1.223599682588446
bjt33,0.0,-0.3796778284521201,578.0,0.24522533266248325,3.6088636801387386,277.77740757780805,0.9030914526174906,0.0,0.054652641754190996,1.217503723696951
