,stationarity,autocorr_min,lag_min,entropy,linear_trend_slopes,linear_trend_intercepts,linear_trend_rvalues,linear_trend_pvalues,linear_trend_stderr,linear_trend_intercept_stderr
bjt46,0.0,-0.31801446968426333,573.0,0.1955669424260119,2.9233833689823387,268.46115029198677,0.7145402514665015,3.705770953208629e-155,0.09115214607427027,2.0306077383694303
bjt47,0.0,-0.3160471237813625,573.0,0.19455333189495538,2.738675621715242,271.5187886618397,0.6900545445124621,1.3311315258836376e-140,0.09147695824523898,2.037843619654641
bjt48,0.0,-0.30786450005082033,573.0,0.18374001980385102,2.6276653550181988,272.85487257548954,0.6761879823622186,5.4933420266610884e-133,0.0911742065007557,2.0310991812444725
bjt49,0.0,-0.3042517728524335,573.0,0.1925733036720978,2.5738583163875477,272.89263194064364,0.6667143941012679,5.08781924101522e-128,0.09163158933976044,2.0412883558528647
bjt50,0.0,-0.3011441696125362,573.0,0.19614216897476655,2.577298449507813,272.3979039618453,0.6579655578848151,1.3591568759604413e-123,0.09393896418204373,2.092690033288323
bjt51,0.0,-0.2869318766522039,576.0,0.18670408177780784,2.575872479884107,272.3232757439837,0.6511178024241493,3.132371313399214e-120,0.09562132706237877,2.130168241215214
bjt52,0.0,-0.28058808398083995,651.0,0.1865320756363218,2.5524359909346024,273.2597050246908,0.6412918873564218,1.4833049760876495e-115,0.09725773860153425,2.1666227853776587
bjt53,0.0,-0.286745285585751,543.0,0.18535679570608188,2.5089153599065557,273.8666852316755,0.6384583885457134,3.074817215558525e-114,0.09631896522784378,2.1457096137268477
bjt54,0.0,-0.30692674574071466,553.0,0.19530511693310848,2.520840049017836,273.6227045511646,0.6569792316696579,4.1979839553345295e-123,0.0921242429037754,2.0522632608058315
bjt55,0.0,-0.3230184312950318,553.0,0.21581420769089976,2.552318387145522,273.1456785514701,0.6731221854389282,2.3303905263620845e-131,0.08930155860757043,1.989381970329385
bjt56,0.0,-0.33771532621783223,576.0,0.2539249413899939,2.584224314753154,271.61723948647386,0.6884910495574437,1.0101083249295122e-139,0.08669181556616767,1.9312443987717136
bjt57,0.0,-0.3487928803552761,579.0,0.24110005712126648,2.5828707753058437,270.6971202382492,0.6908512502330402,4.715907574430349e-141,0.08608274786297655,1.917676121506107
bjt58,0.0,-0.3512487016789187,577.0,0.24697191358286608,2.5807296494346854,270.31168513870483,0.6900092776385445,1.4118292411975467e-140,0.08621205874618519,1.9205567961957066
bjt59,0.0,-0.3428491220223101,576.0,0.23295921574934808,2.5761127719289365,270.1621282649717,0.6871574773186211,5.632167717922492e-139,0.0867382861666486,1.9322796301404446
bjt60,0.0,-0.33710361026341956,626.0,0.235792414266359,2.6006191376951153,269.02058994531257,0.6911378353054026,3.244142411347062e-141,0.08660550266435586,1.9293215954819547
bjt61,0.0,-0.33973298275775804,623.0,0.22993999926105424,2.6493648671240377,266.7150366207344,0.7075391964136376,7.670266324075685e-151,0.08426980456558095,1.8772889573254967
bjt62,0.0,-0.3261790737162105,620.0,0.2237305811866429,2.638150802431879,265.1135550679728,0.6980907294080301,3.2383738730715665e-145,0.08617235441461907,1.919672297844354
bjt63,0.0,-0.30584358836756176,614.0,0.22379738144734573,2.6374433049137744,264.13861400235106,0.6824295123280325,2.3141882385761984e-136,0.08996537242595191,2.0041698336380964
bjt64,0.0,-0.2929109556487968,613.0,0.21694637483209567,2.6448504232398524,264.23036774850914,0.6711136858692135,2.649090915515343e-130,0.09304487611040713,2.07277232169029
bjt65,0.0,-0.2748358733751722,597.0,0.19847166349907097,2.6186068590753058,265.96861133474493,0.6552525934683369,2.992167177898982e-122,0.0961403585516876,2.141730770503215
bjt66,0.0,-0.2557354712398115,596.0,0.17998529277447617,2.6014498077367323,268.17551281742385,0.6388007218482109,2.1354518384896923e-114,0.09978105822089128,2.2228350915725223
bjt67,1.0,-0.2457309655907116,608.0,0.17173933934041652,2.60699632917027,270.0337321067187,0.6329836206345153,9.835821470773487e-112,0.10154139548366316,2.262050344551998
bjt68,1.0,-0.2448801348247486,608.0,0.1401647382041603,2.6327850604350584,271.60924761088984,0.6383572259884911,3.424274484471233e-114,0.10110144551708657,2.252249524219168
bjt69,0.0,-0.24399566654615257,608.0,0.1543194377559397,2.699197484999828,271.979493785662,0.6543434970449369,8.371781591916379e-122,0.09934033556024699,2.213017057837476
bjt70,1.0,-0.26126736008364526,707.0,0.18475491213012551,2.869126760627002,269.80721578466546,0.7147934719098241,2.5723725268229224e-155,0.08939564102419917,1.9914778560707382
bjt71,0.0,-0.3128317259841691,707.0,0.2422880430352714,3.123532740824026,265.4099389804758,0.8074968410176319,2.9148242333728964e-228,0.07266486598151321,1.618764291620871
bjt72,0.0,-0.34984847855505535,707.0,0.30891933518797265,3.391925007252771,260.187018966758,0.8821252224537675,0.0,0.05767827253708291,1.28490607839503
bjt73,0.0,-0.3710741237532647,630.0,0.36207921929737785,3.629902245355119,255.203808704864,0.9202586093901787,0.0,0.04915507305116353,1.0950336993325298
