dates,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91
2013-10-24,426.8915355159172,430.4784242777504,435.622015799083,424.032980809711,418.250827778676,407.112917932442,404.306057557227,408.135801974936,405.639692360346,410.747657956411,406.06380630532,408.472780019167,405.196302219802,399.029536885159,391.016660529898,380.07959963087,377.485375356121,373.149690979001,366.525188989968,368.975888349377,366.513293753899,363.281329944774,366.823710768988,360.939661274855,355.330407604506,354.294683751807,350.82808090589,352.912956951998,355.696470964114,354.247694972866,345.858914088012,368.0775590458527,375.2006809740573,371.1427373798542,377.52404786377485,382.06080109920777,378.91585332193836,375.2004838998965,376.6290291742862,384.239326372749,377.84906519963,371.805842061809,363.944025273334,355.434579862621,351.658976357259,348.294517434803,341.919776911548,346.608136964959,346.821791127771,347.885788322632,352.322949433008,353.932999878815,349.904115079625,350.38306194394,353.274463489733,350.12006241813,348.076832483091,353.224564879968,348.047223479829,350.015089002078,350.881152999414,356.093672345085,353.944811394442,358.229332691626,359.81753979968,365.738243528712,361.606154189153,348.160598796957,338.03506876097,358.34465050000176,366.3861500118015,370.3211147061452,370.1885034469795,365.84885051623155,365.69915482380577,360.6633285439948,352.719514295115,351.022920194635,343.560280892024,340.558023930133,342.910905246154,337.546334851127,345.912884729466,348.627474800286,350.45395807416
2013-11-25,426.81785735760917,426.93926942869973,427.1846434047839,420.2922250477359,414.3482293725465,408.67538377961966,408.49673814559316,418.551933439615,423.630347700478,417.666846101173,414.260854779091,415.901339565107,409.810139597201,409.927559059756,404.328815912706,397.471837879897,390.801331208594,396.059617253325,391.883549097813,386.514795412805,393.380520758766,393.547182792244,397.462260205703,394.893311703648,386.053841320909,390.811373183562,387.263624007448,394.878824457868,390.644829599588,395.448954928287,392.809228515485,390.762184897996,395.07243255947,390.879191556009,391.138471103501,390.361417524759,380.7828450721494,373.2610305320166,370.76679241578404,373.26323517297834,369.7455681942142,366.0330958900413,362.63600177451656,361.6508840960816,364.432197776401,358.257154370013,366.921144973386,362.225058749007,369.089792689919,369.030074127521,378.462937829732,374.387540998515,372.701677692721,375.709993336429,373.311296539618,374.013735066618,369.090920759863,370.052189180165,372.83269229903,367.979069860817,367.294059966963,367.912840916531,365.768284430764,371.350126461232,372.461703383521,375.353398059524,369.227133867865,372.703083716547,373.254607840594,379.526830255408,375.785952454989,379.524077811668,380.314973188443,383.719630005727,376.982438413986,367.553494549323,362.706044400505,351.85780031237783,343.0335876135862,340.350356442944,341.6663121884591,340.2836454890223,344.59205700236043,346.97946557207587,348.4239128743045
2013-12-03,429.071341152365,425.247451318629,421.28996920144,414.509281558102,406.154915101678,402.798205218735,398.068767064894,400.455321018954,399.968493415494,403.513795076518,402.228855587327,400.534049781369,398.653577148266,388.501601545232,381.730803482214,376.827680902902,375.548149720497,372.695743262512,369.708599549992,374.905369193798,372.454025584324,380.609652711524,378.563252655938,381.665635229775,377.208028464038,373.931347165852,374.212487690397,370.40721573501,374.071913836367,375.613225593331,375.795326966816,376.768027006209,374.278678523577,376.660624458122,373.838874055204,370.448209235751,372.660382569979,369.062703089997,363.55587679655,361.550296896891,355.250000410206,349.294378004542,346.148879944046,346.418239154518,340.964774837289,339.822521926278,338.51871511171,335.178868753899,339.620901030655,341.197538987215,348.755646862533,349.376115102393,351.499469379504,349.783414210997,349.936786834459,347.017474031739,343.192354940039,344.787591620382,342.225819827637,338.63068084634,343.066582560289,340.185409335232,341.068685108692,343.512205175355,349.415162768018,349.150277892044,353.90271786755,352.780111299028,353.639134669435,354.269195991994,353.367537037458,356.659061699596,354.398953675165,352.309964967791,346.029667024145,348.397621702005,349.535925802964,348.994392803105,345.564418425771,344.236167487508,346.16340383694,346.175305379825,346.465031711838,346.655264950663,346.773034419179
2013-12-11,442.897101498497,444.365407591025,439.869764053911,432.516120256624,424.5415738863075,419.38404169500075,414.3845734320156,413.33677234589067,413.24449324796456,414.96235273967824,414.933494310745,418.246694180942,411.75714171744,405.696942920267,394.952271614125,390.827457803429,383.757728284251,378.037213166747,376.962720291114,378.331853258647,376.072259780498,382.124422443352,389.936431532158,386.897982397931,380.59440071832,377.741837279898,375.932222766264,375.49864460994,382.932972065021,379.661526537757,383.07942370578,381.262257059048,383.960764481553,382.713672687779,377.636041310994,379.946908544193,379.129843733049,386.257963405487,383.838053883757,379.275413718856,364.48883896033635,347.6078312162467,332.1773712403329,328.750310204619,325.529905997245,327.8638361475271,335.6045931498931,353.739505061473,350.533820494057,361.612737867906,365.393029841678,367.574276204732,362.914032821402,363.978056231253,364.065413181036,363.608069326846,356.512266720422,354.199237305076,352.17297677437,354.888302381538,351.10070300383,350.20046785715,354.367678195877,354.660840556532,359.169452178445,359.11293560635,360.646190824125,356.029964519242,354.302179276193,353.049603273732,352.747149717421,352.316277047088,349.300822223987,355.629024589757,361.608127129155,365.71212722717,369.873126829504,364.461665350053,365.067296555487,348.915244736912,344.3072620445264,341.70991823530926,340.1978148304577,339.847052871645,340.0738162464875
2013-12-19,456.6761724664806,458.44204961472116,454.9599217226697,447.6691081578496,441.8891418056828,437.2063009421017,431.9635611333847,430.3927698916241,431.47392097869454,430.95807522801954,429.3823064071951,427.88779843164446,421.13323321607584,414.0027748905441,405.28272020871344,403.2023306381833,397.6090265972405,393.3446256049955,392.8252642187417,393.36549556948023,396.8407322571441,399.6972096403621,406.6725886107779,404.0254906317144,397.1959121730782,380.466256889467,368.43449573601924,361.15555593084264,355.6044310506316,347.78960380992186,353.0900870571563,355.48777678087174,351.647291554257,350.802502773817,356.586903274083,350.522885238255,380.3599579225797,394.31930480433164,394.4037942738035,389.5775707866197,375.89143561173154,355.158603239609,329.761833576544,328.439464281033,326.845095692946,328.198259423868,329.50846523858,330.572436137447,339.395335996238,346.596256836052,350.979428739348,348.638493397651,351.153024880711,348.78427163995,351.533750048507,345.627319079767,345.482412758669,343.060516573109,340.659273163272,338.104429931495,340.46615681082,336.829186843841,335.798655207847,333.155678510876,332.11193916248,336.111027346779,330.966696520048,328.552512309266,323.841262679183,317.261766213063,319.3798692698,319.409798672126,323.802622792713,327.767288223865,333.13485209614,332.382125926162,330.327499939913,338.699215509199,342.30775474831,344.580369367632,346.322071136108,343.543910493165,342.155520594669,341.9692153729,343.259685666059
2013-12-27,447.693974859303,449.549508834194,445.109520237255,437.58996089991,435.753914533685,433.08334733985,426.345669850355,425.234000747424,429.4541130053,426.594342706986,423.790049891376,419.523826042365,411.683270753117,403.27750407036,394.729141051139,395.466366306382,389.761518816422,383.715493117418,386.410202146962,385.203483449568,392.410892637408,392.573710534655,401.233021535372,395.306748167698,396.722807228242,369.2999999552692,353.7415777990029,343.46481018460315,326.4585495406862,308.53567608349897,325.2718101061196,342.7049577550479,359.2006786097842,392.278939211275,397.059410136301,394.907339779688,398.610760411911,393.894251073628,387.832669628568,384.639725916351,377.497977275966,368.633788335057,363.327298633487,360.949921731147,366.822883376127,363.544449630576,374.423265528787,373.983411492823,376.354592946054,375.651729037314,376.509885613189,371.800447812241,367.531606788453,374.487673955078,369.159254687241,366.467063965239,364.409779469324,360.605084758321,361.45403027581,360.977568391158,359.554800975106,362.291360060379,351.916114638044,311.0288383592241,308.9623481922374,306.93707968947643,301.5326055356714,297.97656128877077,298.0715057685062,302.13525385129594,309.44565955390806,330.2689182797281,381.033131483069,380.967462119147,373.132470514188,369.667830714094,373.060468765527,368.337580554476,373.987943092304,373.632870680396,374.736933640963,368.337979620918,371.803363012056,368.158088933804,372.369207303204
2014-01-04,400.665640126607,394.83363937964,381.62782341939,381.551816784858,385.359005705393,383.523170276377,373.855136155477,372.733247550324,381.347893373343,375.503213789483,379.418773628339,378.709696894448,373.174683828406,357.232324625745,358.42813588125654,338.861553632139,338.59989987009897,307.555556153595,329.424620136444,326.641399932082,307.133398092815,334.441588076601,339.27983032786,309.273614373806,339.74515186795213,338.958412612711,342.651577390699,344.114213256352,324.6870182979999,291.599620493655,323.85128963601073,341.49572439021676,341.525897137127,334.121890783654,334.798361718899,335.49464088881,339.799189324922,344.95582288791,348.522928790636,343.788255995456,336.226063232043,329.692659832015,320.952356983038,309.148483265197,316.631502123082,306.002903706091,311.732564322312,344.5059619861549,357.7190789922259,360.40319680467405,364.24338026593733,362.2156742987585,358.2411011892472,356.03382788593785,345.37593646082416,321.4374567445085,266.565206171831,264.362602962287,277.649011889434,292.26457221748984,271.991017500007,310.93001834180893,313.2286704257916,275.892965722683,303.997346760303,301.460832206962,298.065215154474,294.304448576222,298.307656744581,310.079284287798,308.815872035268,306.824565516513,314.81167898693,321.777390125019,349.6710354168815,361.78655300604635,366.6421752263195,363.5921314042336,358.18892346907387,338.71735252184607,302.170631519588,335.35868357388574,355.524119995495,362.3225760221033,366.06646718248976
2014-01-28,421.411145004644,418.202001442396,412.019075810058,408.461720723364,406.785408530281,402.501143676926,403.241243160819,403.351645277687,403.05018675545,401.696842714694,399.219688817003,400.170849633002,398.132229251813,393.897720764285,389.91423523681,383.586266216616,379.955685467642,376.646158350582,372.760676698704,376.848960750907,380.309617588294,366.05833921195205,357.4769825176712,343.970370141692,354.8961872287015,360.5447671623038,367.47305323872814,378.373602923599,377.900147168459,377.946203372076,378.53577932574,375.242760872056,371.135338884879,370.418060249453,373.218251717826,374.169591974172,374.189656074842,370.230921026876,368.190319114962,359.463306672253,351.40480337635,341.732706369711,336.732864648773,339.190556407811,337.328101117639,341.88675710535,341.88059394306,345.959644020256,344.239389910846,342.476203694986,349.994110430204,350.096859187309,347.032505434358,342.173427708657,341.098841188697,344.144754386084,339.535292930155,339.162570282562,319.05825907830496,314.69057978425144,306.156918984373,325.7907184142031,338.4187440847516,344.677585907011,347.495488000359,347.392182014715,352.3746248454,352.693391485323,350.979294002051,354.176245260389,356.883500062578,359.287797023413,351.998048627615,353.164182435322,353.094032756132,352.996689407209,352.687998433626,352.506767386689,349.425285504207,346.743692208403,348.201287160415,347.456423543776,348.136424484987,351.352728210363,351.7122587755
2014-03-01,436.368954405507,431.123249212056,424.467884180105,424.40729547849,416.65011882363007,410.84693155977305,410.3887660583413,409.27561611049816,407.967613211785,408.5833677132381,407.7680191905226,412.3518416953495,418.557811160704,414.141107022675,407.822300119028,399.729552575141,392.786164559468,392.803036101392,388.833704496225,383.65224208431,388.999256674565,386.841438424407,389.923023899901,390.027582742376,386.534043443077,386.816531628047,384.132391239442,384.591605653356,388.091994508325,386.235390065019,390.035483147996,387.188253486371,387.377503858721,386.075490129053,383.475999433599,384.314866302072,380.17311536804,382.243473231367,378.903738267025,374.185403562609,373.87625195669,367.543930404141,354.427436319094,349.1913274717865,348.47031939293703,352.5426622278759,352.4030509307098,354.26412959213076,358.13029626207,365.145348908674,361.125243471336,363.529087042036,359.797732541071,359.466737910979,363.43041739489,357.244466502831,354.330156088268,351.791696175989,349.324004953494,351.328906306228,348.770353497286,350.733882218305,353.325308832677,352.360609222485,355.374571868356,350.800716792069,348.886172354527,348.93677718302,345.072107057515,346.371320891585,353.924246657324,354.17388429627,350.853593813083,356.194600050227,356.721827212518,354.389197600744,350.968513398267,356.034432379375,348.440847645103,335.307809441236,346.86606851267953,350.3997103265447,349.4829169198881,350.922840854378,350.14378248718197
2014-03-09,434.0502168746684,428.42945566278775,422.47172416220843,418.57423821015476,412.68966059737045,408.40262374071256,408.9419462786686,406.705301302543,405.22715565221,408.83095221674,406.406375432925,409.252608530264,408.264759152432,402.761740270968,399.688341646122,391.564774733087,379.986671659229,373.742836080557,371.31508858169,382.097803304577,391.190405839288,387.326169199208,386.705584711068,381.113578447063,376.605790647649,376.487833516525,380.658206456692,376.746872990728,379.508651962071,379.245129609059,380.81188949167,378.925974873845,373.066594452761,373.608465088324,370.861751156357,369.280365266778,373.327143033681,368.532698399068,364.064325103504,363.520900799845,361.570556205671,357.023257630278,354.134645368374,348.214442812547,350.474182861153,355.102446330986,353.437934407685,353.919171389366,350.352319915714,354.987862897272,351.449166028955,355.730209397319,351.867179679773,345.242597197038,347.333397915815,347.292536623971,339.668261447364,335.70454641734,338.802356197507,335.258024237772,339.256411572694,337.81191448668,342.399914309091,341.651056992212,345.360651317427,343.844803619111,340.732371647309,342.378567111478,341.470006485319,347.110498528366,345.175731919872,349.137563813119,347.229219439509,348.717194882206,345.014941370081,351.628027454151,347.876696083241,352.290594964036,350.105898417766,354.134524562221,352.235537335735,353.156853057684,350.276058702652,352.885717406897,350.664509159446
