dates,transect_id,cross_distance,shore_x,shore_y
5/13/1998 0:00,583,127.03,-70.04191211,42.02549187
5/12/1998 0:00,583,129.41,-70.04188849,42.02550411
2/29/2000 0:00,583,129.34,-70.04188922,42.02550374
5/20/1998 0:00,583,128.45,-70.04189805,42.02549916
5/22/1998 0:00,583,130.51,-70.04187758,42.02550977
9/15/1998 0:00,583,132.63,-70.04185662,42.02552063
5/8/1998 0:00,583,132.97,-70.04185325,42.02552238
12/14/1998 0:00,583,128.53,-70.04189725,42.02549957
12/29/1998 0:00,583,131.69,-70.04186593,42.0255158
10/19/1999 0:00,583,126.3,-70.04191939,42.0254881
2/21/1999 0:00,583,134.49,-70.04183814,42.0255302
2/19/1999 0:00,583,131.89,-70.04186395,42.02551683
3/3/1999 0:00,583,136.99,-70.04181336,42.02554305
3/12/1999 0:00,583,133.54,-70.04184757,42.02552532
10/1/1998 0:00,583,132.5,-70.04185789,42.02551997
3/1/1999 0:00,583,137.99,-70.04180344,42.02554819
10/29/1999 0:00,583,131.45,-70.04186833,42.02551456
3/25/1999 0:00,583,124.64,-70.04193579,42.0254796
11/15/1999 0:00,583,131.88,-70.041864,42.0255168
11/30/1999 0:00,583,132.74,-70.04185548,42.02552122
12/30/1999 0:00,583,134.02,-70.04184284,42.02552777
12/5/1999 0:00,583,134.84,-70.04183469,42.025532
12/15/1999 0:00,583,130.07,-70.04188193,42.02550751
1/26/2000 0:00,583,127.77,-70.0419048,42.02549566
12/20/1999 0:00,583,135.02,-70.04183285,42.02553295
2/2/2000 0:00,583,132.2,-70.04186086,42.02551843
1/12/2000 0:00,583,133.87,-70.04184428,42.02552703
12/2/1999 0:00,583,129.83,-70.04188433,42.02550627
2/26/1999 0:00,583,135.41,-70.04182899,42.02553494
2/23/1999 0:00,583,135.57,-70.04182741,42.02553577
6/8/2001 0:00,583,131.96,-70.04186323,42.0255172
8/8/2001 0:00,583,138.64,-70.04179694,42.02555156
8/21/2001 0:00,583,140.21,-70.04178136,42.02555963
9/20/2001 0:00,583,134.48,-70.0418382,42.02553017
10/12/2001 0:00,583,135.92,-70.04182396,42.02553755
12/6/2001 0:00,583,132.02,-70.04186265,42.0255175
7/11/2001 0:00,583,140.03,-70.0417832,42.02555867
