,dates,bjt6,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91
26,1987-03-15 14:55:34+00:00,353.1945590171241,350.0245440741564,344.44381184043846,337.87348062546243,331.29938973814404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.9898014904835,422.3429302628649,409.0141749798895,422.4154959320998,439.52045904487545,,,,468.6157911716049,470.1823111672724,480.50189416790334,,,,,,,,,,,,,,,,,,,,,,,
27,1987-05-18 14:57:35+00:00,371.5855352791361,364.8464016798211,362.49409998261797,353.48425194092874,345.1368513203657,336.7412035454395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1987-06-19 14:58:21+00:00,369.85622343712856,372.2136081925347,369.0977930928699,363.2896269455561,354.5373373778458,349.86627097945706,345.67219608184826,339.28084794570617,333.78370177634156,,,,,,,,,,,,,,,,,,,,,,,352.05576287903693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.92501989595917,281.23815647061554,284.067162579699,285.0817774279284,285.2438774246176,285.41173977671906,283.45670653098716,281.7989144000305,,,,,,,,,,,,
29,1987-09-23 15:00:43+00:00,349.69119543098356,351.01291899647254,348.95230456037945,339.13280792102876,336.04317535086557,332.1712247781704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.57286551904315,279.99779535706784,283.5218423249131,,,295.21477840816465,,,,,331.49958733220416,356.19571825893536,358.7322370409828,376.50136655653347,382.6014963881626,,,
30,1987-10-09 15:01:02+00:00,351.7175950425544,356.21401950273,358.45746055119935,360.1115928829515,352.4622363058263,345.5249952347041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.2119810604282,278.61457590185466,277.84619246957857,275.87956602892666,277.11041109545704,,,,,,,,,,,,,
31,1987-10-25 15:01:18+00:00,366.6085578636741,363.8031241863284,357.880689778585,355.42598741241056,362.5875987598083,350.26345026955755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.11296492318786,279.5455607610997,283.9748312900649,285.8844165541012,288.6343065720405,283.25420626567376,,,,,,,,,,,,,
32,1988-01-29 15:03:01+00:00,360.3688339688732,357.5633373967243,354.78796501595895,352.6466257314238,350.55991269401966,344.87224747427035,340.3799096479671,337.2456994417842,331.7890154505914,,,,,,,,,,,,293.7985264864755,291.2094235369368,284.5551223363251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.19038935240985,283.4360563120499,282.5262901127514,285.90575657940633,287.25539519772735,288.3739239047462,289.1183966342429,286.59885219098686,286.05134613225914,290.18938788553254,289.76821356479996,288.51311323431247,,,,,,,,
33,1988-02-14 15:03:17+00:00,,349.7859129646324,347.78647423825424,349.41429197189586,348.1365437187449,341.93438034559927,339.1955442284126,334.93551028322446,331.149394210145,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0363716257653,265.46606705313917,263.6916456159267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.0001199410968,280.5048405495253,285.40698039672765,292.35821371956126,289.71364509934375,289.5480437248973,286.1539405664307,282.01484225909417,281.30057874052545,281.4133516684767,,,,,,,,,
34,1988-03-01 15:03:28+00:00,353.5021471460935,350.883605579094,349.53008880852383,345.0488847449515,339.7895360527782,340.3114744402565,343.8324243694028,373.47034853677917,385.31513131167395,,,,,,,326.25234553088876,344.5931310549457,360.628742318039,367.5695541137301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.07787501912094,,329.784610946988,326.9294736439378,,,,,,,,,,271.42864282893936,273.5287681948185,278.9848640108628,,,,,,,,,,,,,
35,1988-03-17 15:03:38+00:00,,339.6952978528051,343.13247064808905,340.72927919722946,336.69193979443344,334.9672221100033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.3694284315601,275.3285220713959,280.99412536391924,284.2533405207616,287.21714826162906,286.7392748489271,287.2042359109142,281.97971602005305,,,,,,,,,,,
36,1988-05-04 15:03:57+00:00,,325.40854095741554,337.72287562343365,339.18136589482884,339.8606432228564,333.95839920052583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1988-06-05 15:04:12+00:00,,333.71468628512844,338.9390534415754,337.5100746104476,341.13988905017516,331.19657832071056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1988-06-21 15:04:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.766818031382,,,,,,,,,,,,,,,,,,,,,,,,278.5264401147257,283.5107305207582,287.9466159918999,294.0890142234539,293.69194976427923,296.0517450959592,295.96784043510615,293.33989947130044,290.8303342867976,289.3784544745883,285.24546811308926,,,,,,,,,
39,1988-08-08 15:04:24+00:00,,348.7034125849062,346.4446973566385,341.8198583498473,337.8464107720763,336.7282008041949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.91851497812587,278.8161785869362,280.82227831645844,287.07973560999426,287.0920408913634,287.0293980794653,290.36195238068126,289.1128041087155,284.3561272523971,283.2220489711261,282.8182281061132,,,,,,,,,
40,1988-10-27 15:04:14+00:00,,334.5849108425722,332.64901399815307,334.9269336879794,333.2770929238408,332.86770881995443,,,,,,,,,,,307.7940214670353,308.4591548465789,302.27965240514914,298.4755227450511,300.4859559149729,295.7213567459082,292.16122200907665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1988-11-12 15:04:17+00:00,,342.20455876317675,346.0607168473887,351.7027488146109,354.1884096577375,343.0605601971785,335.7076701580343,332.27726062659076,337.1234757273936,,,,,,,,310.6900673984924,310.26758215581856,307.4460444117668,304.21359900469326,304.6467539565263,303.54113704464413,299.94253781205725,298.1172881338459,,,,,,,,,,,,271.72810087365815,266.4543500378405,269.0401279340896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.31241530743796,275.64761569445864,275.86374692910556,280.9018920730696,274.5847648273301,276.02720845922437,,,,,,,,,,,,,
42,1988-12-14 15:04:03+00:00,383.2242674257027,,338.04570917359825,340.2182956993827,,,,,340.75049137983234,347.01663726121717,350.5049463689743,,,,,,,,,,,313.7585119473056,,,,,,,,,,,304.3364290899124,290.925595485438,,,309.07599101911785,283.19329133639917,283.05748461558903,,380.93215232216903,,,,278.6232149241587,279.95426053141625,,291.3025268325302,291.19099307577164,284.1793761746658,280.3921337918204,,311.94641947703684,314.31337968236346,307.7289511332948,,276.1418293722978,,,,,,,280.15063663663284,286.81194074272264,301.410307702918,311.6135643739449,293.7659125100779,298.3200472111435,318.90677596660134,,347.86172268241245,335.04621824172784,329.2689936175114,312.39424954460395,,,304.10734808443664,320.3192137677066,342.47574364906166,356.2209495593725,,318.1749858694428,318.62490588405973,,
