,dates_in_situ,transect_id,cross_distance_in_situ,dates_sds,tide,cross_distance_sds_raw,tide_tide,transect_id_sds_tide,cross_distance_sds_tide,timedelta
16,2000-02-11 00:00:00+00:00,583,131.65,2000-02-09 00:00:00+00:00,-0.312984591,143.177746,-0.312984591,583.0,133.07862698519023,2 days
17,2000-02-29 00:00:00+00:00,583,129.34,2000-03-04 00:00:00+00:00,1.1529747869304012,129.1497407,1.1529747869304012,583.0,130.24115126065465,-4 days
18,2000-04-12 00:00:00+00:00,583,127.15,2000-04-13 00:00:00+00:00,-0.386913169,144.4265104,-0.386913169,583.0,133.76305108325596,-1 days
19,2000-04-27 00:00:00+00:00,583,120.49,2000-05-07 00:00:00+00:00,-0.786770487,151.5386292,-0.786770487,583.0,137.8228239461802,-10 days
20,2000-06-07 00:00:00+00:00,583,133.43,2000-05-31 00:00:00+00:00,0.9387669336203296,129.9578635,0.9387669336203296,583.0,129.41409962456467,7 days
21,2000-07-05 00:00:00+00:00,583,127.77,2000-07-02 00:00:00+00:00,1.0393593514171258,135.0570282,1.0393593514171258,583.0,135.28114538202473,3 days
22,2000-08-03 00:00:00+00:00,583,128.18,2000-08-11 00:00:00+00:00,0.6890562017323673,137.9894513,0.6890562017323673,583.0,135.53949867801393,-8 days
23,2000-08-31 00:00:00+00:00,583,135.22,2000-08-27 00:00:00+00:00,1.0083800019585392,146.5186453,1.0083800019585392,583.0,146.50627893660425,4 days
24,2000-10-18 00:00:00+00:00,583,137.78,2000-10-22 00:00:00+00:00,-0.324721507,143.7621524,-0.324721507,583.0,133.57343862523905,-4 days
25,2000-11-20 00:00:00+00:00,583,135.19,2000-11-15 00:00:00+00:00,-0.139501664,139.7220386,-0.139501664,583.0,130.94721669532234,5 days
26,2000-12-04 00:00:00+00:00,583,136.8,2000-12-01 00:00:00+00:00,-0.541039215,133.5393132,-0.541039215,583.0,121.69931921899972,3 days
27,2000-12-19 00:00:00+00:00,583,141.85,2000-12-09 00:00:00+00:00,1.1825786539156966,148.099019,1.1825786539156966,583.0,149.41641327879913,10 days
28,2001-01-17 00:00:00+00:00,583,131.65,2001-01-18 00:00:00+00:00,-0.217706003,137.7684524,-0.217706003,583.0,128.39665080000856,-1 days
29,2001-02-01 00:00:00+00:00,583,123.74,2001-02-03 00:00:00+00:00,-0.313165893,133.9017989,-0.313165893,583.0,123.80129589331958,-2 days
30,2001-02-16 00:00:00+00:00,583,121.72,2001-02-11 00:00:00+00:00,-0.266325352,139.1073111,-0.266325352,583.0,129.3643695064142,5 days
31,2001-03-07 00:00:00+00:00,583,123.0,2001-02-27 00:00:00+00:00,-0.443666262,141.8993777,-0.443666262,583.0,130.8026887151993,8 days
32,2001-03-16 00:00:00+00:00,583,123.24,2001-03-15 00:00:00+00:00,-1.199615504,149.0670845,-1.199615504,583.0,132.19979055083886,1 days
33,2001-04-30 00:00:00+00:00,583,131.16,2001-05-02 00:00:00+00:00,-0.454524453,150.1917045,-0.454524453,583.0,139.01212848683627,-2 days
34,2001-05-15 00:00:00+00:00,583,131.09,2001-05-10 00:00:00+00:00,-0.375537356,143.3564321,-0.375537356,583.0,132.7798111,5 days
35,2001-07-11 00:00:00+00:00,583,140.03,2001-07-21 00:00:00+00:00,0.9680905865882706,150.0863413,0.9680905865882706,583.0,149.7664221042455,-10 days
36,2001-08-08 00:00:00+00:00,583,138.64,2001-08-06 00:00:00+00:00,0.1323195071991616,153.2211692,0.1323195071991616,583.0,146.52131812574024,2 days
37,2001-09-20 00:00:00+00:00,583,134.48,2001-09-23 00:00:00+00:00,-0.963626398,147.0689663,-0.963626398,583.0,132.0031159234186,-3 days
38,2001-12-21 00:00:00+00:00,583,126.73,2001-12-28 00:00:00+00:00,1.1899478120505538,128.4961877,1.1899478120505538,583.0,129.86983514696377,-7 days
